item_id,domain,tier,question,ground_truth,response,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0013,TECH,5,"In the original 1999 paper introducing the Rijndael cipher, what was the maximum number of rounds specified for the version with a 256-bit key and a 256-bit block size?","In the original Rijndael specification by Daemen and Rijmen, the number of rounds is a function of the block size (Nb) and key size (Nk). For a 256-bit block size (Nb=8) and a 256-bit key (Nk=8), the number of rounds (Nr) is 14. This is a specific detail from the initial design that differs from the fixed 128-bit block size adopted in the AES standard.","The original 1999 paper introducing the Rijndael cipher, ""AES Proposal: Rijndael"" by Joan Daemen and Vincent Rijmen, specified the maximum number of rounds for different key and block sizes. For the version with a 256-bit key and a 256-bit block size, the maximum (and specified) number of rounds was 14.",,,,,,
EQ_0014,CULT,3,The film 'The Battle of Algiers' is set during the Algerian struggle for independence from which country?,The film 'The Battle of Algiers' is set during the Algerian struggle for independence from France.,The film 'The Battle of Algiers' is set during the Algerian struggle for independence from France.,,,,,,
EQ_0015,SCI,3,What characterizes a quasi-static process in thermodynamics?,"A quasi-static process is characterized by its slow progression, allowing the system to remain in equilibrium at all stages, making it a reversible process.",,,,,,,
EQ_0016,TECH,4,Which data structure is commonly used to implement efficient storage and retrieval in databases?,"B-trees are a common data structure used in databases for efficient storage and retrieval of data, as they allow for balanced indexing.","The **B-tree** (and its variants like **B+ trees**) is the most commonly used data structure for efficient storage and retrieval in databases, particularly for indexing and organizing data on disk.

Other relevant structures include:
- **Hash tables** (for in-memory lookups)
- **Balanced binary search trees** (e.g., AVL, Red-Black trees)
- **LSM-trees** (for log-structured merge trees in modern databases like RocksDB).",,,,,,
EQ_0017,CULT,2,Which theater critic is known for his concept of ' Verfremdungseffekt'?,The concept of 'Verfremdungseffekt' is associated with the theater practitioner Bertolt Brecht.,"The theater critic known for his concept of 'Verfremdungseffekt' (also known as the ""alienation effect"" in English) is Bertolt Brecht. He was a German playwright, director, and theorist who significantly influenced modern theater with his ideas.",,,,,,
EQ_0018,BIO,3,Which enzyme is deficient in patients with McArdle's disease?,"Myophosphorylase is the enzyme deficient in patients with McArdle's disease (Glycogen storage disease type V), leading to an inability to break down glycogen to glucose-1-phosphate in muscle cells.","Muscle glycogen phosphorylase 

",,,,,,
EQ_0019,LAW,3,What is the 'implied covenant of good faith and fair dealing' in contract law?,"The implied covenant of good faith and fair dealing is a contractual term that is implied by law, requiring parties to a contract to act in good faith and deal fairly with each other in the performance and enforcement of the contract.",The implied covenant of good faith and fair dealing is a fundamental principle in contract law that obligates each party to a contract to act honestly and not to do anything that would deprive the other party of the benefit of the bargain.,,,,,,
EQ_0020,SCI,1,What is the scientific term for the study of the Earth's atmosphere?,The scientific term for the study of the Earth's atmosphere is meteorology. Meteorology involves the study of weather and atmospheric conditions.,"Meteorology 

",,,,,,
EQ_0021,FIN,2,What were the economic consequences of the end of the Cold War?,"The end of the Cold War led to a significant shift in global economic dynamics, including the transition of former Soviet-bloc countries to market economies, increased globalization, and changes in international trade patterns.","The end of the Cold War triggered a global shift from state-controlled to market-oriented economies, leading to privatization, liberalization, and integration into the world market—especially in former Soviet-bloc nations. It produced a deep transitional recession in post-Soviet states, a surge in global trade and foreign direct investment, lower defense spending in the West, and the rise of the United States as the dominant economic power while China and other emerging economies gained rapid access to global markets.",,,,,,
EQ_0022,CULT,3,Who is the main protagonist in the novel 'Crime and Punishment'?,"The main protagonist in 'Crime and Punishment' is Rodion Raskolnikov, a young former student who murders an old pawnbroker.",The main protagonist in the novel 'Crime and Punishment' is Rodion Raskolnikov.,,,,,,
EQ_0023,LAW,5,"In the case of SEC v. Jarkesy (2024), what was the specific count of SEC administrative law judges (ALJs) appointed as of the decision date?","As of the decision date in SEC v. Jarkesy, there were approximately 25 SEC ALJs appointed.","As of the Supreme Court's decision in SEC v. Jarkesy (2024), there were **two** SEC administrative law judges.",,,,,,
EQ_0024,GEO,1,In which climate zone is Singapore located?,"Singapore is located in the tropical rainforest climate zone, characterized by a relatively uniform temperature, high humidity, and abundant rainfall throughout the year.","Singapore is located in the **tropical climate zone**, specifically a tropical rainforest climate (Köppen classification: Af), characterized by high year-round temperatures, heavy rainfall, and minimal seasonal variation.


**Answer:** Tropical (specifically tropical rainforest).",,,,,,
EQ_0025,FIN,5,"According to the 2024 edition of the IRS Publication 17, what is the exact maximum adjusted gross income (for a married couple filing jointly) at which they can claim the full Child Tax Credit for the 2023 tax year?","For the 2023 tax year, as detailed in the 2024 edition of IRS Publication 17 (Your Federal Income Tax), the full Child Tax Credit of $2,000 per qualifying child begins to phase out at an adjusted gross income (AGI) of $400,000 for married couples filing jointly. Therefore, the maximum AGI to claim the full credit is $399,999.",I can't verify the exact maximum adjusted gross income for the 2023 tax year as per the 2024 edition of the IRS Publication 17.,,,,,,
EQ_0026,HIST,3,The Rumiantsev Mission was a Russian expedition that explored which region in the early 19th century?,"There is no historical record of a 'Rumiantsev Mission.' A plausible alternative is the Rumiantsev Museum, but this does not fit the context of an expedition. A more likely candidate for a Russian expedition is the Rurik expedition, which explored the Pacific.","The Rumiantsev Mission was a Russian expedition that explored the Pacific Northwest region of North America, specifically the coast of present-day British Columbia, Canada, and Alaska, in the early 19th century (1808-1812) under the command of Lieutenant Mikhail Golovnin, but it was sponsored by Count Nikolai Rumiantsev.",,,,,,
EQ_0027,SCI,2,Who is credited with the discovery of the principle of buoyancy?,"Archimedes is credited with the discovery of the principle of buoyancy, also known as Archimedes' Principle. It states that the buoyancy force on an object submerged in a fluid is equal to the weight of the fluid displaced by the object.",Archimedes is credited with discovering the principle of buoyancy.,,,,,,
EQ_0028,GEO,2,The Khyber Pass is a significant geographical feature on the border between which two countries?,The Khyber Pass is a significant geographical feature on the border between Afghanistan and Pakistan.,The Khyber Pass is a significant geographical feature on the border between Pakistan and Afghanistan.,,,,,,
EQ_0029,CULT,5,Which novel is set during the French Revolution?,The novel 'A Tale of Two Cities' by Charles Dickens is set during the French Revolution.,"One notable novel set during the French Revolution is ""Les Misérables"" by Victor Hugo.",,,,,,
EQ_0030,SCI,1,What is the term for the inability to reach absolute zero?,The term for the inability to reach absolute zero is the third law of thermodynamics.,"The term for the inability to reach absolute zero, which is the theoretical lowest temperature possible where all molecular motion ceases, is called ""Heisenberg Uncertainty Principle."" According to quantum mechanics, it states that it's impossible to know both the position and momentum of a particle with absolute precision, making it impossible to bring a system to a complete halt at absolute zero.",,,,,,
EQ_0031,BIO,5,Which specific mutation in the EGFR gene is associated with sensitivity to the tyrosine kinase inhibitor gefitinib?,Exon 19 deletions and L858R point mutations in the EGFR gene are associated with sensitivity to gefitinib.,,,,,,,
EQ_0032,FIN,1,What is the term for a consumer's ability to borrow money or access credit?,The term is creditworthiness.,The term for a consumer's ability to borrow money or access credit is creditworthiness.,,,,,,
EQ_0033,LAW,5,What was the total number of articles in the Treaty of Lisbon?,The Treaty of Lisbon contains 7 articles and numerous protocols and declarations.,The Treaty of Lisbon has 526 articles.,,,,,,
EQ_0034,FIN,2,How does the payoff structure of a call option differ from that of a put option?,"A call option gives the holder the right to buy an underlying asset at a specified price, with payoff increasing as the asset's price rises above the strike price. A put option gives the holder the right to sell, with payoff increasing as the asset's price falls below the strike price.","The payoff structure of a call option differs from that of a put option in terms of the conditions under which the holder makes a profit. A call option gives the holder the right to buy an underlying asset at a specified price (strike price), and the holder benefits when the market price of the asset is above the strike price. In contrast, a put option gives the holder the right to sell an underlying asset at the strike price, and the holder benefits when the market price of the asset is below the strike price. Therefore, the payoff of a call option increases as the price of the underlying asset rises above the strike price, while the payoff of a put option increases as the price of the underlying asset falls below the strike price.",,,,,,
EQ_0035,HIST,2,The Argentine Declaration of Independence was signed in which city in 1816?,"The Argentine Declaration of Independence was signed in Tucumán in 1816, marking a significant step in Argentina's struggle for independence from Spain.",The Argentine Declaration of Independence was signed in Buenos Aires in 1816.,,,,,,
EQ_0036,TECH,1,What is the main purpose of a kernel in an operating system?,"The kernel is the core part of an operating system that manages the system's hardware resources and provides services to applications, acting as a bridge between hardware and software.","The main purpose of a kernel in an operating system is to manage the system's hardware resources and provide a platform for running applications by acting as an intermediary between the hardware and the user-level software, controlling tasks such as process scheduling, memory management, and input/output operations.",,,,,,
EQ_0037,BIO,5,What was the primary endpoint result for the LEADER trial evaluating liraglutide in patients with type 2 diabetes at high cardiovascular risk?,"The LEADER trial reported a hazard ratio of 0.87 (95% CI 0.78–0.97) for the composite of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke with liraglutide compared to placebo.","The primary endpoint of the LEADER trial was a composite of **cardiovascular death, non-fatal myocardial infarction, or non-fatal stroke**. Liraglutide significantly reduced the risk of this composite endpoint compared to placebo, with a hazard ratio of 0.87 (95% CI: 0.79–0.96; *P*<0.001), corresponding to an absolute risk reduction of approximately 3.5 events per 1000 patient-years.",,,,,,
EQ_0038,GEO,2,"Which region is divided between Ukraine, Russia, and Moldova?","The region of Bessarabia and parts of the Budjak are historically associated with divisions between Ukraine, Romania (not Moldova exclusively), and Russia, but specifically, the region known as Transnistria is disputed between Moldova and Russia, and parts of Ukraine border both.",Transnistria.,,,,,,
EQ_0039,BIO,5,What dose and frequency of rivaroxaban was studied in the COMPASS trial for cardiovascular risk reduction?,The COMPASS trial evaluated rivaroxaban 2.5 mg twice daily plus aspirin 100 mg once daily for cardiovascular risk reduction.,"In the COMPASS trial, the dose of rivaroxaban studied for cardiovascular risk reduction was 15 mg once daily.",,,,,,
EQ_0040,BIO,5,What is the average blood flow through the human coronary circulation at rest?,"The average blood flow through the human coronary circulation at rest is approximately 225-250 mL/min, which is about 4-5% of the total cardiac output, supplying the myocardium with oxygen and nutrients.","At rest, the average blood flow through the human coronary circulation is approximately 20-40% of the total cardiac output, which is around 4-5 liters per minute. This equates to roughly 800-1000 milliliters per minute.",,,,,,
EQ_0041,LAW,5,"As of December 2023, how many U.S. Supreme Court justices have served for more than 20 years?","As of December 2023, two U.S. Supreme Court justices have served for more than 20 years.","As of December 2023, **34** U.S. Supreme Court justices have served for more than 20 years.",,,,,,
EQ_0042,FIN,5,"According to the seminal 1958 paper by Modigliani and Miller, 'The Cost of Capital, Corporation Finance and the Theory of Investment,' what is the exact numerical value used in their Proposition I to demonstrate that firm value is independent of capital structure in a world with no taxes?","In Modigliani and Miller's 1958 American Economic Review paper, their Proposition I is famously illustrated with a numerical example where the total market value of two firms, Firm U (unlevered) and Firm L (levered), is both $1,000,000, demonstrating that leverage does not affect value in the absence of taxes and other market imperfections.","In their seminal 1958 paper, Modigliani and Miller (M&M) demonstrate **Proposition I** using a numerical example where:

- The **unlevered firm value (V<sub>u</sub>)** is **$100**.
- The **levered firm value (V<sub>l</sub>)** is also **$100**, confirming that firm value is independent of capital structure in a world with no taxes.

This equality holds because:
**V<sub>l</sub> = V<sub>u</sub> + B** (where **B = $0** in their initial no-tax case, but later adjusted to show **V<sub>l</sub> = V<sub>u</sub>** when debt is introduced without tax effects).

The key takeaway is that **V<sub>l</sub> = V<sub>u</sub>**, meaning capital structure does not affect firm value under their initial assumptions.",,,,,,
EQ_0043,CULT,3,The term 'Poor Theatre' was coined by which theater director?,"The term 'Poor Theatre' was coined by Jerzy Grotowski, a Polish theater director, in his 1968 book 'Towards a Poor Theatre'.",John Gielgud,,,,,,
EQ_0044,SCI,4,What is the role of thermodynamic potentials in describing the state of a thermodynamic system?,"Thermodynamic potentials, such as internal energy, enthalpy, Helmholtz free energy, and Gibbs free energy, are used to describe the state of a thermodynamic system and predict the direction of spontaneous processes under various constraints.",,,,,,,
EQ_0045,LAW,5,What was the exact amount of the judgment in the case of United States v. Microsoft Corp. in 2001?,"The judgment in United States v. Microsoft Corp. in 2001 involved a breakup of the company, but the exact financial penalty was not a straightforward number; however, Microsoft was required to disclose certain financial information.",The exact amount of the judgment in the case of United States v. Microsoft Corp. in 2001 was $486 million.,,,,,,
EQ_0046,BIO,3,What is the name of the landmark trial that established the efficacy of intravenous thrombolysis with alteplase for acute ischemic stroke?,The NINDS (National Institute of Neurological Disorders and Stroke) rt-PA Stroke Study Group trial established the efficacy of intravenous thrombolysis with alteplase (rt-PA) for acute ischemic stroke when administered within 3 hours of symptom onset.,The landmark trial that established the efficacy of intravenous thrombolysis with alteplase for acute ischemic stroke is the NINDS (National Institute of Neurological Disorders and Stroke) trial.,,,,,,
EQ_0047,BIO,5,What was the incidence of grade 3 or 4 neutropenia reported in the MONARCH 3 trial for abemaciclib plus anastrozole?,The MONARCH 3 trial reported grade 3 or 4 neutropenia in 21.1% of patients receiving abemaciclib plus anastrozole.,"The incidence of grade 3 or 4 neutropenia in the MONARCH 3 trial for abemaciclib plus anastrozole was **59.9%**. 

",,,,,,
EQ_0048,BIO,2,What is the role of the Centers for Disease Control and Prevention (CDC) in public health?,"The CDC is a national public health agency in the United States that plays a critical role in protecting public health and safety through the control and prevention of disease, injury, and disability. The CDC conducts research, provides health information, and responds to health emergencies.","The Centers for Disease Control and Prevention (CDC) is a prominent federal public health institution in the United States. Its primary role is to protect public health and safety by conducting research, monitoring health indicators, detecting and responding to health threats, and providing guidelines and resources to healthcare providers, communities, and governments to promote overall health and prevent the spread of diseases.",,,,,,
EQ_0049,FIN,4,How does the Non-Accelerating Inflation Rate of Unemployment (NAIRU) relate to macroeconomic stability?,"The Non-Accelerating Inflation Rate of Unemployment (NAIRU) is the rate of unemployment at which inflation is stable, meaning it's the rate below which inflation tends to rise and above which it tends to fall.",,,,,,,
EQ_0050,CULT,1,The ancient Olympic Games were held in which country?,The ancient Olympic Games were held in Greece.,The ancient Olympic Games were held in Greece.,,,,,,
EQ_0051,SCI,4,How does the presence of a catalyst affect the decomposition of hydrogen peroxide?,"The presence of a catalyst, such as manganese dioxide, accelerates the decomposition of hydrogen peroxide into water and oxygen.","A catalyst, such as manganese dioxide (MnO₂), speeds up the decomposition of hydrogen peroxide (H₂O₂) by providing an alternative reaction pathway with a lower activation energy, allowing the reaction to occur faster at the same temperature.",,,,,,
EQ_0052,BIO,2,"Which toxin is responsible for the systemic complications of Staphylococcus aureus infections, such as toxic shock syndrome?","Toxic shock syndrome toxin-1 (TSST-1) is the primary toxin responsible for the systemic complications of Staphylococcus aureus infections, such as toxic shock syndrome, by acting as a superantigen that triggers a massive release of cytokines.","The toxin responsible for the systemic complications of Staphylococcus aureus infections, such as toxic shock syndrome, is Toxic Shock Syndrome Toxin-1 (TSST-1).",,,,,,
EQ_0053,FIN,4,What is the accounting treatment for stock-based compensation under ASC 718?,"Under ASC 718, stock-based compensation is measured at the grant-date fair value of the award and recognized as expense over the requisite service period, typically using a straight-line method.","ASC 718 requires companies to recognize the cost of employee stock-based compensation in their income statement over the period the employees are required to provide service in exchange for the award. This cost is measured as the fair value of the equity instruments granted. 

",,,,,,
EQ_0054,LAW,4,What is the name of the framework used by courts to analyze claims under the Fair Labor Standards Act (FLSA)?,"Courts use the 'enterprise coverage' and 'individual coverage' tests to determine whether an employer is subject to the FLSA, with enterprise coverage applying to employers with annual gross volume of sales or business of at least $500,000 and individual coverage applying to employees engaged in interstate commerce.","The framework used by courts to analyze claims under the Fair Labor Standards Act (FLSA) is the ""primary excess benefit"" test. This test is used to determine whether an employer's overtime pay practices are in compliance with the FLSA.",,,,,,
EQ_0055,BIO,5,"What is the precise average diameter of the human aortic valve annulus in adults, as measured by multidetector computed tomography?","The average diameter of the human aortic valve annulus in adults is approximately 23.1 mm for women and 25.6 mm for men, as measured by multidetector computed tomography, according to a study published in the Journal of the American College of Cardiology: Cardiovascular Imaging.","The precise average diameter of the human aortic valve annulus, as measured by multidetector computed tomography (MDCT), is approximately **32-34 mm (1.26-1.34 inches)**. However, this can vary depending on factors like age, sex, and ethnicity.",,,,,,
EQ_0056,GEO,2,What was the population of India at the time of its independence in 1947?,"At the time of its independence in 1947, the population of India was approximately 340 million people.","At the time of India's independence in 1947, the population was approximately 361 million.",,,,,,
EQ_0057,SCI,2,What is the scientific instrument used to measure the mass of atoms and molecules?,"The instrument is called a mass spectrometer. A mass spectrometer measures the mass-to-charge ratio of ions, allowing for the determination of the mass of atoms and molecules.",The scientific instrument used to measure the mass of atoms and molecules is a mass spectrometer.,,,,,,
EQ_0058,SCI,5,"What is the name of the largest known impact crater on Earth, as confirmed by the Geological Survey of Canada?","The largest known impact crater on Earth is the Sudbury Basin in Ontario, Canada.","The Vredefort Crater in South Africa is the largest known impact crater on Earth, confirmed by the Geological Survey of Canada.",,,,,,
EQ_0059,FIN,2,What is the primary objective of inflation targeting as a monetary policy framework?,"The primary objective of inflation targeting is to achieve and maintain a specified rate of inflation, typically around 2%, by adjusting monetary policy instruments to manage inflation expectations and stabilize the economy.","The primary objective of inflation targeting is to maintain a stable and predictable inflation rate, typically around a specific target level (e.g., 2%), by adjusting monetary policy.",,,,,,
EQ_0060,SCI,1,How are sound levels typically measured?,Sound levels are typically measured in decibels (dB) using a sound level meter.,"Sound levels are typically measured using a **sound level meter (SLM)**, which converts sound pressure into a decibel (dB) reading, using a standardized frequency weighting (usually A-weighting).",,,,,,
EQ_0061,FIN,4,What is the 'Taylor Rule' in monetary policy?,"The Taylor Rule is a monetary policy rule that suggests how central banks should set interest rates based on the deviation of inflation from its target and the deviation of economic output from its potential, providing a guideline for monetary policy decisions.",The Taylor Rule is a monetary-policy guideline that sets the nominal interest rate in response to changes in inflation and output. It states that the central bank should raise its policy rate by more than one-for-one when inflation rises above target and also increase the rate when output exceeds potential.,,,,,,
EQ_0062,LAW,4,What is the doctrine of 'primary jurisdiction' in the context of administrative law?,"The doctrine of primary jurisdiction is a principle that allows courts to refer technical or complex issues to an administrative agency for initial determination, when the agency has specialized expertise and is better equipped to resolve the issue.",The doctrine of primary jurisdiction in administrative law refers to a situation where a court refers a matter to an administrative body with specialized knowledge or expertise before proceeding further. This occurs when the administrative body has primary authority over the subject matter in question and can make a more informed decision. The court will typically stay its proceedings until the administrative body has had an opportunity to rule on the matter.,,,,,,
EQ_0063,HIST,2,The 1983 film 'The Day After' depicted the aftermath of a nuclear war in which American city?,"The film 'The Day After' depicted the aftermath of a nuclear war in Kansas City, Missouri.","Lawrence, Kansas 

",,,,,,
EQ_0064,SCI,4,What is the significance of the Gibbs free energy in determining the equilibrium state of a thermodynamic system?,"The Gibbs free energy is a thermodynamic potential that predicts the equilibrium state of a system at constant temperature and pressure, with the system tending towards a state of minimum Gibbs free energy.","The Gibbs free energy (G) is a thermodynamic potential that measures the maximum reversible work that can be extracted from a closed system at constant temperature and pressure. At equilibrium, the Gibbs free energy of a system is minimized. This means that when G is at its minimum value, the system is in a state of thermodynamic equilibrium, where no net changes occur spontaneously. This principle is crucial for understanding and predicting the spontaneity of chemical reactions and phase transitions.",,,,,,
EQ_0065,SCI,5,"What is the exact structure of the transition state in the Diels-Alder reaction between 1,3-butadiene and ethylene?","The transition state in the Diels-Alder reaction between 1,3-butadiene and ethylene is a cyclic, concerted structure with significant asynchronicity in the forming C-C bonds.","The transition state for the Diels-Alder reaction between 1,3-butadiene and ethylene is a **bicycle structure** with the following key features:

*   **Planar:** The transition state is highly planar.
*   **Six-membered ring:** It contains a six-membered ring formed by the cyclic addition.
*   **Partial bonds:**  There are partial bonds between the C2 of butadiene and the C1 of ethylene, and between the C4 of butadiene and the C2 of ethylene.
*   **Partial double bonds:** There are partial double bonds between C1-C2 and C3-C4 of the newly formed ring.
*   **Sp2 hybridized carbons:** All carbons involved in the ring are sp2 hybridized.

Essentially, it’s a fleeting, highly strained intermediate where the reactants are temporarily bonded in a way that’s neither fully reactant nor product.",,,,,,
EQ_0066,HIST,1,"Which event occurred on July 14, 1789, in Paris?","The Storming of the Bastille occurred on July 14, 1789, in Paris, marking a pivotal event in the French Revolution.",,,,,,,
EQ_0067,SCI,1,What is the term for the ability of a material to be magnetized?,"The term is 'magnetic permeability', which is a measure of how easily a material can be magnetized.","The term for the ability of a material to be magnetized is magnetic susceptibility or more specifically, the property is related to the material being ferromagnetic. However, the most direct term that describes the ability of a material to be magnetized is ""magnetizability"" or more commonly used in physics, ""magnetic permeability"" for the measure of how much a magnetic field can permeate a given material. Yet, the straightforward answer is that the property is related to being ferromagnetic. 

A more concise term is: Magnetizability or Ferromagnetism.

The most accurate and concise term is: Magnetic susceptibility.",,,,,,
EQ_0068,HIST,5,The concept of the 'Iron Curtain' was first used by Winston Churchill in a speech in which year?,Winston Churchill first used the concept of the 'Iron Curtain' in a speech in 1946.,"1946 

",,,,,,
EQ_0069,GEO,1,Which strait connects the Mediterranean Sea to the Red Sea?,The Suez Canal connects the Mediterranean Sea to the Red Sea.,,,,,,,
